1.Id: s_3_21
2.The Number Of Stands: 25
3.The Number Of Flights: 40
4.The Number Of Tasks: 85
5.Flight Information Section
36,B747,C,8:35,180,"[['U', 3, 2]]",44
41,A320,P,8:15,170,"[['U', 3, 1], ['L', 4, 3, 105]]",5
45,A320,P,9:10,165,"[['U', 2, 2], ['L', 2, 3, 94]]",12
49,B738,P,9:10,45,"[['U', 1, 1], ['L', 3, 3, 93]]",1
50,B738,P,9:55,45,"[['U', 3, 3], ['L', 5, 3, 101]]",1
51,B738,P,9:30,60,"[['U', 3, 2], ['L', 1, 3, 111]]",15
52,B738,P,10:30,60,"[['U', 2, 3], ['L', 3, 3, 99]]",15
53,A321,P,9:35,160,"[['U', 1, 1], ['U', 3, 1], ['U', 2, 1], ['L', 1, 3, 104]]",16
57,A320,P,9:35,50,"[['U', 3, 1], ['L', 3, 3, 99]]",2
58,A320,P,10:25,50,"[['U', 3, 2], ['L', 2, 3, 87]]",2
59,B738,P,9:35,180,"[['U', 1, 1], ['L', 5, 3, 112]]",21
63,A320,P,10:25,45,"[['U', 2, 2], ['L', 1, 3, 97]]",7
64,A320,P,11:10,45,"[['U', 1, 2], ['L', 1, 2, 71]]",7
65,ARJ21,P,10:25,80,"[['U', 3, 2], ['L', 1, 2, 46]]",8
66,ARJ21,P,11:45,80,"[['U', 1, 1], ['L', 5, 2, 45]]",8
67,A320,P,10:30,60,"[['U', 3, 2], ['L', 6, 2, 75]]",9
68,A320,P,11:30,60,"[['U', 1, 3], ['L', 2, 2, 75]]",9
69,ARJ21,P,10:35,160,"[['U', 1, 1], ['L', 4, 2, 57]]",10
73,B737,P,10:40,60,"[['U', 2, 2], ['L', 1, 2, 76]]",20
74,B737,P,11:40,60,"[['U', 2, 1], ['L', 6, 2, 78]]",20
75,B738,P,10:40,60,"[['U', 2, 2], ['L', 5, 3, 95]]",24
76,B738,P,11:40,60,"[['U', 2, 1], ['L', 3, 3, 97]]",24
77,A320,P,10:55,175,"[['U', 1, 2], ['L', 5, 3, 105]]",11
81,A319,P,11:05,150,"[['U', 3, 2], ['L', 6, 3, 88]]",14
83,B738,P,11:15,175,"[['U', 2, 1], ['U', 3, 1], ['U', 1, 1], ['L', 4, 3, 98]]",6
87,A320,P,11:20,45,"[['U', 3, 2], ['L', 4, 2, 77]]",27
89,B738,P,11:25,145,"[['U', 3, 2], ['L', 1, 3, 104]]",17
91,ARJ21,P,11:40,50,"[['U', 2, 1], ['L', 2, 2, 59]]",32
93,B738,P,11:45,160,"[['U', 2, 1], ['L', 5, 3, 84]]",4
97,A321,P,11:45,55,"[['U', 1, 2], ['L', 5, 3, 102]]",33
99,A320,P,11:55,160,"[['U', 2, 1], ['U', 3, 1], ['U', 1, 1], ['L', 3, 3, 103]]",1
103,A320,P,11:55,75,"[['U', 3, 1], ['L', 5, 3, 86]]",29
108,A320,P,8:25,105,"[['U', 3, 1], ['L', 1, 3, 96]]",6
114,ARJ21,P,8:40,110,"[['U', 1, 2], ['L', 3, 2, 49]]",2
122,ARJ21,P,8:45,80,"[['U', 2, 2], ['L', 3, 2, 44]]",7
144,ARJ21,P,8:50,110,"[['U', 1, 1], ['L', 4, 2, 46]]",8
166,B738,P,9:10,110,"[['U', 2, 2], ['L', 5, 3, 94]]",9
170,A320,P,9:45,120,"[['U', 1, 1], ['L', 4, 3, 83]]",4
174,A320,P,10:15,80,"[['U', 2, 1], ['L', 6, 3, 108]]",3
178,A321,P,11:25,85,"[['U', 3, 2], ['L', 1, 3, 107]]",13
