1.Id: l_1_32
2.The Number Of Stands: 36
3.The Number Of Flights: 98
4.The Number Of Tasks: 301
5.Flight Information Section
34,B747,C,9:30,165,"[['U', 1, 4], ['U', 1, 4], ['U', 1, 4], ['U', 1, 4], ['U', 1, 4], ['U', 1, 4], ['U', 1, 4], ['U', 1, 1]]",45
35,A321,P,8:35,165,"[['U', 1, 4], ['U', 1, 3], ['L', 1, 3, 99]]",1
39,B738,P,9:05,160,"[['U', 2, 4], ['U', 2, 4], ['U', 2, 1], ['L', 1, 3, 101]]",8
43,A320,P,9:05,170,"[['U', 2, 4], ['U', 2, 3], ['L', 3, 3, 92]]",7
47,B738,P,9:30,170,"[['U', 1, 4], ['U', 1, 4], ['U', 1, 1], ['L', 3, 3, 102]]",12
51,B738,P,9:40,180,"[['U', 2, 4], ['U', 2, 4], ['L', 4, 3, 107]]",17
55,ARJ21,P,9:40,175,"[['U', 1, 4], ['L', 6, 2, 58]]",16
59,ARJ21,P,9:45,180,"[['U', 1, 4], ['L', 1, 2, 58]]",18
63,B738,P,9:50,180,"[['U', 2, 4], ['U', 2, 3], ['L', 5, 3, 109]]",13
67,A320,P,9:55,165,"[['U', 1, 4], ['U', 1, 2], ['L', 6, 3, 87]]",20
71,ARJ21,P,9:55,170,"[['U', 3, 3], ['L', 4, 2, 59]]",21
75,B738,P,10:00,45,"[['U', 3, 4], ['U', 3, 3], ['L', 2, 3, 103]]",3
76,B738,P,10:45,45,"[['U', 1, 4], ['U', 1, 3], ['L', 3, 3, 102]]",3
77,A320,P,10:00,70,"[['U', 2, 4], ['U', 2, 2], ['L', 4, 3, 109]]",5
78,A320,P,11:10,70,"[['U', 1, 4], ['U', 1, 2], ['L', 6, 2, 78]]",5
79,A321,P,10:05,175,"[['U', 2, 4], ['U', 2, 4], ['U', 2, 1], ['L', 6, 3, 107]]",22
83,B738,P,10:15,45,"[['U', 3, 4], ['U', 3, 4], ['L', 6, 3, 102]]",6
84,B738,P,11:00,45,"[['U', 3, 4], ['U', 3, 4], ['U', 3, 1], ['L', 5, 3, 111]]",6
85,B738,P,10:30,45,"[['U', 2, 4], ['U', 2, 3], ['L', 4, 3, 99]]",9
86,B738,P,11:15,45,"[['U', 2, 4], ['U', 2, 3], ['L', 6, 3, 98]]",9
87,B738,P,10:35,45,"[['U', 1, 4], ['U', 1, 3], ['L', 5, 3, 91]]",10
88,B738,P,11:20,45,"[['U', 3, 4], ['U', 3, 3], ['L', 5, 3, 84]]",10
89,A320,P,10:55,175,"[['U', 2, 4], ['U', 2, 2], ['L', 5, 3, 92]]",24
93,B738,P,10:55,165,"[['U', 3, 4], ['U', 3, 3], ['L', 6, 3, 88]]",23
97,A320,P,11:00,45,"[['U', 2, 4], ['U', 2, 2], ['L', 3, 3, 84]]",11
98,A320,P,11:45,45,"[['U', 1, 4], ['U', 1, 1], ['L', 4, 3, 89]]",11
99,B738,P,11:00,50,"[['U', 3, 4], ['U', 3, 4], ['L', 6, 3, 106]]",25
100,B738,P,11:50,50,"[['U', 3, 4], ['U', 3, 4], ['U', 3, 1], ['L', 3, 3, 87]]",25
101,B738,P,11:00,105,"[['U', 1, 4], ['U', 1, 4], ['U', 1, 1], ['L', 3, 3, 84]]",27
102,B738,P,12:45,105,"[['U', 1, 4], ['U', 1, 4], ['L', 1, 3, 103]]",27
103,A320,P,11:05,175,"[['U', 2, 4], ['U', 2, 3], ['L', 3, 3, 100]]",19
107,A320,P,11:10,60,"[['U', 1, 4], ['U', 1, 1], ['L', 1, 3, 109]]",28
108,A320,P,12:10,60,"[['U', 3, 4], ['U', 3, 2], ['L', 4, 3, 91]]",28
109,B738,P,11:15,180,"[['U', 2, 4], ['U', 2, 4], ['L', 5, 3, 108]]",14
113,B738,P,11:15,180,"[['U', 3, 4], ['U', 3, 4], ['U', 3, 1], ['L', 2, 3, 99]]",15
117,A320,P,11:25,55,"[['U', 1, 4], ['U', 1, 2], ['L', 3, 3, 87]]",29
118,A320,P,12:20,55,"[['U', 1, 4], ['U', 1, 3], ['L', 6, 3, 85]]",29
119,A320,P,11:40,105,"[['U', 2, 4], ['U', 2, 1], ['L', 3, 2, 76]]",26
120,A320,P,13:25,105,"[['U', 1, 4], ['U', 1, 3], ['L', 6, 3, 109]]",26
121,A320,P,12:10,170,"[['U', 2, 4], ['U', 2, 3], ['L', 4, 3, 97]]",9
125,B738,P,12:15,50,"[['U', 2, 4], ['U', 2, 4], ['L', 2, 3, 108]]",30
126,B738,P,13:05,50,"[['U', 3, 4], ['U', 3, 4], ['L', 3, 3, 84]]",30
127,ARJ21,P,12:25,55,"[['U', 3, 4], ['L', 5, 2, 53]]",33
128,ARJ21,P,13:20,55,"[['U', 1, 3], ['L', 5, 2, 51]]",33
129,B738,P,12:35,180,"[['U', 1, 4], ['U', 1, 4], ['L', 4, 3, 91]]",3
133,A320,P,12:35,160,"[['U', 3, 4], ['U', 3, 1], ['L', 5, 3, 95]]",1
137,B738,P,12:35,45,"[['U', 2, 4], ['U', 2, 3], ['L', 5, 3, 103]]",34
138,B738,P,13:20,45,"[['U', 3, 4], ['U', 3, 4], ['U', 3, 1], ['L', 5, 3, 92]]",34
139,B738,P,12:35,170,"[['U', 1, 4], ['U', 1, 4], ['L', 6, 3, 82]]",2
143,B738,P,12:40,45,"[['U', 1, 4], ['U', 1, 4], ['L', 2, 3, 96]]",35
144,B738,P,13:25,45,"[['U', 3, 4], ['U', 3, 4], ['U', 3, 1], ['L', 5, 3, 98]]",35
145,B738,P,12:40,55,"[['U', 2, 4], ['U', 2, 3], ['L', 3, 3, 111]]",31
146,B738,P,13:35,55,"[['U', 3, 4], ['U', 3, 4], ['U', 3, 1], ['L', 5, 3, 97]]",31
147,B738,P,12:40,60,"[['U', 2, 4], ['U', 2, 4], ['L', 6, 3, 91]]",32
148,B738,P,13:40,60,"[['U', 1, 4], ['U', 1, 3], ['L', 1, 2, 79]]",32
149,A319,P,12:50,180,"[['U', 2, 4], ['L', 1, 2, 79]]",5
153,A320,P,12:50,180,"[['U', 3, 4], ['U', 3, 2], ['L', 4, 3, 104]]",4
157,B738,P,12:50,165,"[['U', 1, 4], ['U', 1, 4], ['L', 4, 3, 95]]",6
160,A320,P,8:05,90,"[['U', 2, 4], ['U', 2, 2], ['L', 6, 3, 92]]",5
161,ARJ21,P,13:00,160,"[['U', 2, 4], ['L', 2, 2, 57]]",7
164,A320,P,8:05,120,"[['U', 1, 4], ['U', 1, 3], ['L', 4, 3, 91]]",9
165,ARJ21,P,13:05,180,"[['U', 2, 4], ['L', 1, 2, 49]]",10
168,A320,P,8:10,85,"[['U', 2, 4], ['U', 2, 2], ['L', 6, 3, 110]]",10
169,A320,P,13:10,170,"[['U', 1, 4], ['U', 1, 2], ['L', 1, 3, 96]]",8
172,B738,P,8:15,90,"[['U', 1, 4], ['U', 1, 4], ['L', 6, 3, 99]]",11
173,B738,P,13:15,50,"[['U', 1, 4], ['U', 1, 3], ['L', 4, 3, 111]]",25
174,B738,P,14:05,50,"[['U', 3, 4], ['U', 3, 4], ['U', 3, 1], ['L', 2, 3, 103]]",25
175,A320,P,13:20,175,"[['U', 3, 4], ['U', 3, 3], ['L', 3, 3, 93]]",11
178,B738,P,8:35,115,"[['U', 3, 4], ['U', 3, 4], ['U', 3, 1], ['L', 3, 3, 85]]",12
179,A320,P,13:25,60,"[['U', 3, 4], ['U', 3, 1], ['L', 3, 2, 80]]",28
180,A320,P,14:25,60,"[['U', 3, 4], ['U', 3, 3], ['L', 1, 2, 79]]",28
181,A320,P,13:35,170,"[['U', 2, 4], ['U', 2, 3], ['L', 5, 3, 99]]",12
184,A320,P,8:55,85,"[['U', 2, 4], ['U', 2, 3], ['L', 1, 3, 81]]",13
185,B738,P,13:40,60,"[['U', 3, 4], ['U', 3, 4], ['L', 3, 2, 79]]",18
186,B738,P,14:40,60,"[['U', 1, 4], ['U', 1, 4], ['L', 6, 2, 80]]",18
187,A320,P,13:45,60,"[['U', 1, 4], ['U', 1, 3], ['L', 1, 3, 92]]",29
188,A320,P,14:45,60,"[['U', 1, 4], ['U', 1, 3], ['L', 4, 2, 77]]",29
189,B738,P,14:05,55,"[['U', 3, 4], ['U', 3, 4], ['L', 2, 3, 92]]",22
190,B738,P,15:00,55,"[['U', 1, 4], ['U', 1, 4], ['U', 1, 1], ['L', 4, 3, 98]]",22
191,A320,P,14:15,175,"[['U', 1, 4], ['U', 1, 2], ['L', 6, 3, 87]]",13
194,A320,P,9:05,105,"[['U', 2, 4], ['U', 2, 1], ['L', 5, 3, 91]]",14
195,A320,P,14:20,160,"[['U', 2, 4], ['U', 2, 1], ['L', 6, 2, 80]]",16
198,A320,P,9:25,110,"[['U', 1, 4], ['U', 1, 1], ['L', 3, 3, 107]]",15
199,A320,P,14:20,80,"[['U', 1, 4], ['U', 1, 1], ['L', 4, 3, 105]]",26
200,A320,P,15:40,80,"[['U', 2, 4], ['U', 2, 3], ['L', 1, 3, 84]]",26
201,B738,P,14:20,160,"[['U', 3, 4], ['U', 3, 3], ['L', 3, 2, 79]]",17
204,ARJ21,P,11:05,120,"[['U', 1, 4], ['L', 3, 2, 50]]",2
205,A320,P,14:50,115,"[['U', 3, 4], ['U', 3, 2], ['L', 5, 3, 99]]",30
207,A319,P,14:55,50,"[['U', 2, 4], ['L', 3, 2, 71]]",31
208,A319,P,15:45,50,"[['U', 3, 4], ['L', 5, 3, 87]]",31
209,A320,P,14:55,55,"[['U', 1, 4], ['U', 1, 1], ['L', 3, 3, 96]]",32
210,A320,P,15:50,55,"[['U', 1, 4], ['U', 1, 3], ['L', 4, 3, 101]]",32
211,ARJ21,P,15:05,55,"[['U', 2, 4], ['L', 2, 1, 39]]",19
213,A320,P,15:10,55,"[['U', 1, 4], ['U', 1, 3], ['L', 1, 3, 81]]",14
215,B738,P,15:20,180,"[['U', 2, 4], ['U', 2, 4], ['L', 2, 3, 87]]",20
218,A321,P,11:55,105,"[['U', 3, 4], ['U', 3, 4], ['U', 3, 2], ['L', 2, 3, 114]]",4
219,A320,P,15:20,165,"[['U', 1, 4], ['U', 1, 2], ['L', 4, 2, 70]]",21
223,A320,P,15:20,50,"[['U', 2, 4], ['U', 2, 1], ['L', 2, 3, 100]]",33
