1.Id: m_2_21
2.The Number Of Stands: 37
3.The Number Of Flights: 98
4.The Number Of Tasks: 272
5.Flight Information Section
30,B737,C,8:45,125,"[['U', 1, 4], ['U', 1, 4]]",46
31,A320,P,8:35,100,"[['U', 3, 3], ['U', 1, 2], ['L', 4, 3, 95]]",4
32,A320,P,10:15,100,"[['U', 2, 4], ['L', 2, 3, 103]]",4
33,A320,P,9:00,170,"[['U', 3, 1], ['U', 2, 2], ['L', 3, 3, 96]]",5
37,ARJ21,P,9:05,45,"[['U', 3, 1], ['U', 1, 1], ['L', 6, 2, 57]]",6
38,ARJ21,P,9:50,45,"[['U', 1, 2], ['L', 1, 2, 48]]",6
39,B738,P,9:05,160,"[['U', 1, 4], ['U', 2, 1], ['L', 2, 3, 96]]",7
43,ARJ21,P,9:10,45,"[['U', 3, 1], ['U', 2, 1], ['L', 3, 2, 50]]",8
44,ARJ21,P,9:55,45,"[['U', 3, 2], ['L', 4, 2, 48]]",8
45,B738,P,9:20,45,"[['U', 3, 3], ['U', 2, 2], ['L', 6, 3, 96]]",9
46,B738,P,10:05,45,"[['U', 1, 4], ['U', 1, 1], ['L', 3, 3, 99]]",9
47,A320,P,9:30,160,"[['U', 3, 2], ['U', 1, 1], ['L', 1, 2, 80]]",10
51,A320,P,9:40,180,"[['U', 2, 3], ['U', 3, 2], ['L', 1, 3, 94]]",16
55,ARJ21,P,9:40,115,"[['U', 2, 2], ['U', 1, 1], ['L', 5, 2, 55]]",12
56,ARJ21,P,11:35,115,"[['U', 2, 2], ['L', 6, 2, 50]]",12
57,A320,P,9:40,175,"[['U', 2, 1], ['U', 1, 3], ['L', 4, 3, 91]]",13
61,B738,P,10:00,45,"[['U', 2, 2], ['U', 3, 2], ['L', 6, 3, 102]]",1
62,B738,P,10:45,45,"[['U', 3, 4], ['L', 3, 2, 80]]",1
63,B738,P,10:15,45,"[['U', 2, 3], ['U', 3, 1], ['L', 3, 3, 117]]",2
64,B738,P,11:00,45,"[['U', 1, 4], ['U', 1, 2], ['L', 3, 3, 89]]",2
65,A320,P,10:30,175,"[['U', 2, 2], ['U', 3, 1], ['L', 2, 3, 92]]",18
69,ARJ21,P,10:35,160,"[['U', 2, 1], ['U', 3, 1], ['L', 4, 2, 54]]",19
73,A320,P,10:35,180,"[['U', 2, 1], ['U', 1, 3], ['L', 4, 3, 88]]",20
74,A320,P,13:35,180,"[['U', 3, 4], ['L', 4, 3, 103]]",20
75,B738,P,10:45,175,"[['U', 2, 3], ['U', 3, 1], ['L', 1, 3, 81]]",21
79,B738,P,10:50,55,"[['U', 3, 3], ['U', 1, 1], ['L', 3, 3, 81]]",8
80,B738,P,11:45,55,"[['U', 1, 4], ['U', 1, 2], ['L', 2, 3, 89]]",8
81,ARJ21,P,11:10,170,"[['U', 3, 1], ['U', 2, 1], ['L', 3, 2, 61]]",14
85,A320,P,11:10,60,"[['U', 1, 2], ['U', 3, 1], ['L', 1, 2, 77]]",23
86,A320,P,12:10,60,"[['U', 2, 4], ['L', 6, 3, 84]]",23
87,B738,P,11:20,60,"[['U', 2, 4], ['U', 3, 1], ['L', 1, 3, 84]]",30
88,B738,P,12:20,60,"[['U', 3, 4], ['L', 5, 2, 77]]",30
89,B738,P,11:20,60,"[['U', 1, 4], ['U', 1, 1], ['U', 2, 1], ['L', 5, 3, 94]]",31
